county,candidate,party,votes,state,race name
Butte,Tim Gildersleeve,NPP,87,CA,U.S. Senate
Butte,Michael Fahmy Girgis,NPP,11,CA,U.S. Senate
Butte,Don J. Grundmann,NPP,203,CA,U.S. Senate
Butte,Jason M. Hanania,NPP,123,CA,U.S. Senate
Butte,David Moore,NPP,188,CA,U.S. Senate
Butte,Lee Olson,NPP,147,CA,U.S. Senate
Butte,Ling Ling Shi,NPP,45,CA,U.S. Senate
Calaveras,Kevin De Leon,DEM,488,CA,U.S. Senate
Calaveras,Adrienne Nicole Edwards,DEM,70,CA,U.S. Senate
Calaveras,Dianne Feinstein,DEM,"2,623",CA,U.S. Senate
Calaveras,Pat Harris,DEM,95,CA,U.S. Senate
Calaveras,Alison Hartson,DEM,195,CA,U.S. Senate
Calaveras,David Hildebrand,DEM,32,CA,U.S. Senate
Calaveras,Herbert G. Peters,DEM,113,CA,U.S. Senate
Calaveras,Douglas Howard Pierce,DEM,45,CA,U.S. Senate
Calaveras,Gerald Plummer,DEM,17,CA,U.S. Senate
Calaveras,Donnie O. Turner,DEM,66,CA,U.S. Senate
Calaveras,Arun K. Bhumitra,REP,709,CA,U.S. Senate
Calaveras,James P Bradley,REP,"1,598",CA,U.S. Senate
Calaveras,"John ""Jack"" Crew",REP,263,CA,U.S. Senate
Calaveras,Erin Cruz,REP,720,CA,U.S. Senate
Calaveras,"Roque ""Rocky"" De La Fuente",REP,160,CA,U.S. Senate
Calaveras,Jerry Joseph Laws,REP,241,CA,U.S. Senate
Calaveras,Patrick Little,REP,154,CA,U.S. Senate
Calaveras,Kevin Mottus,REP,176,CA,U.S. Senate
Calaveras,Mario Nabliba,REP,40,CA,U.S. Senate
Calaveras,Tom Palzer,REP,188,CA,U.S. Senate
Calaveras,Paul A Taylor,REP,520,CA,U.S. Senate
Calaveras,Derrick Michael Reid,LIB,127,CA,U.S. Senate
Calaveras,John Thompson Parker,P&F,47,CA,U.S. Senate
Calaveras,Colleen Shea Fernald,NPP,39,CA,U.S. Senate
Calaveras,Rash Bihari Ghosh,NPP,17,CA,U.S. Senate
Calaveras,Tim Gildersleeve,NPP,28,CA,U.S. Senate
Calaveras,Michael Fahmy Girgis,NPP,2,CA,U.S. Senate
Calaveras,Don J. Grundmann,NPP,58,CA,U.S. Senate
Calaveras,Jason M. Hanania,NPP,27,CA,U.S. Senate
Calaveras,David Moore,NPP,34,CA,U.S. Senate
Calaveras,Lee Olson,NPP,38,CA,U.S. Senate
Calaveras,Ling Ling Shi,NPP,14,CA,U.S. Senate
Colusa,Kevin De Leon,DEM,196,CA,U.S. Senate
Colusa,Adrienne Nicole Edwards,DEM,10,CA,U.S. Senate
Colusa,Dianne Feinstein,DEM,545,CA,U.S. Senate
Colusa,Pat Harris,DEM,34,CA,U.S. Senate
Colusa,Alison Hartson,DEM,42,CA,U.S. Senate
Colusa,David Hildebrand,DEM,10,CA,U.S. Senate
Colusa,Herbert G. Peters,DEM,21,CA,U.S. Senate
Colusa,Douglas Howard Pierce,DEM,44,CA,U.S. Senate
Colusa,Gerald Plummer,DEM,5,CA,U.S. Senate
Colusa,Donnie O. Turner,DEM,8,CA,U.S. Senate
Colusa,Arun K. Bhumitra,REP,29,CA,U.S. Senate
Colusa,James P Bradley,REP,487,CA,U.S. Senate
Colusa,"John ""Jack"" Crew",REP,101,CA,U.S. Senate
Colusa,Erin Cruz,REP,239,CA,U.S. Senate
Colusa,"Roque ""Rocky"" De La Fuente",REP,71,CA,U.S. Senate
Colusa,Jerry Joseph Laws,REP,59,CA,U.S. Senate
Colusa,Patrick Little,REP,71,CA,U.S. Senate
Colusa,Kevin Mottus,REP,58,CA,U.S. Senate
Colusa,Mario Nabliba,REP,8,CA,U.S. Senate
Colusa,Tom Palzer,REP,64,CA,U.S. Senate
Colusa,Paul A Taylor,REP,200,CA,U.S. Senate
Colusa,Derrick Michael Reid,LIB,28,CA,U.S. Senate
Colusa,John Thompson Parker,P&F,9,CA,U.S. Senate
