,county,candidate,party,votes,race name,state
163,Tulare,Konstantinos Roditis,REP,"15,752",Controller,CA
164,Tulare,Mary Lou Finley,P&F,"1,221",Controller,CA
165,Tuolumne,Betty T. Yee,DEM,"4,683",Controller,CA
166,Tuolumne,Konstantinos Roditis,REP,"5,012",Controller,CA
167,Tuolumne,Mary Lou Finley,P&F,412,Controller,CA
168,Ventura,Betty T. Yee,DEM,"55,582",Controller,CA
169,Ventura,Konstantinos Roditis,REP,"43,275",Controller,CA
170,Ventura,Mary Lou Finley,P&F,"3,771",Controller,CA
171,Yolo,Betty T. Yee,DEM,"17,900",Controller,CA
172,Yolo,Konstantinos Roditis,REP,"6,569",Controller,CA
173,Yolo,Mary Lou Finley,P&F,848,Controller,CA
174,Yuba,Betty T. Yee,DEM,"2,463",Controller,CA
175,Yuba,Konstantinos Roditis,REP,"3,426",Controller,CA
176,Yuba,Mary Lou Finley,P&F,342,Controller,CA
