,county,candidate,party,votes,race name,state
119,Mendocino,Kevin Akin,P&F,259,Treasurer,CA
120,Merced,Fiona Ma,DEM,"5,231",Treasurer,CA
121,Merced,Vivek Viswanathan,DEM,"2,396",Treasurer,CA
122,Merced,Greg Conlon,REP,"4,707",Treasurer,CA
123,Merced,Jack M. Guerrero,REP,"4,321",Treasurer,CA
124,Merced,Kevin Akin,P&F,477,Treasurer,CA
125,Modoc,Fiona Ma,DEM,328,Treasurer,CA
126,Modoc,Vivek Viswanathan,DEM,143,Treasurer,CA
127,Modoc,Greg Conlon,REP,817,Treasurer,CA
128,Modoc,Jack M. Guerrero,REP,688,Treasurer,CA
129,Modoc,Kevin Akin,P&F,38,Treasurer,CA
130,Mono,Fiona Ma,DEM,"1,131",Treasurer,CA
131,Mono,Vivek Viswanathan,DEM,342,Treasurer,CA
132,Mono,Greg Conlon,REP,503,Treasurer,CA
133,Mono,Jack M. Guerrero,REP,688,Treasurer,CA
134,Mono,Kevin Akin,P&F,52,Treasurer,CA
135,Monterey,Fiona Ma,DEM,"15,941",Treasurer,CA
136,Monterey,Vivek Viswanathan,DEM,"2,993",Treasurer,CA
137,Monterey,Greg Conlon,REP,"6,375",Treasurer,CA
138,Monterey,Jack M. Guerrero,REP,"4,411",Treasurer,CA
139,Monterey,Kevin Akin,P&F,698,Treasurer,CA
140,Napa,Fiona Ma,DEM,"6,909",Treasurer,CA
141,Napa,Vivek Viswanathan,DEM,"1,484",Treasurer,CA
142,Napa,Greg Conlon,REP,"3,146",Treasurer,CA
143,Napa,Jack M. Guerrero,REP,"2,093",Treasurer,CA
144,Napa,Kevin Akin,P&F,255,Treasurer,CA
145,Nevada,Fiona Ma,DEM,"5,865",Treasurer,CA
146,Nevada,Vivek Viswanathan,DEM,"1,864",Treasurer,CA
147,Nevada,Greg Conlon,REP,"3,396",Treasurer,CA
148,Nevada,Jack M. Guerrero,REP,"3,834",Treasurer,CA
149,Nevada,Kevin Akin,P&F,251,Treasurer,CA
150,Orange,Fiona Ma,DEM,"114,813",Treasurer,CA
151,Orange,Vivek Viswanathan,DEM,"36,176",Treasurer,CA
152,Orange,Greg Conlon,REP,"98,638",Treasurer,CA
153,Orange,Jack M. Guerrero,REP,"87,236",Treasurer,CA
154,Orange,Kevin Akin,P&F,"6,104",Treasurer,CA
155,Placer,Fiona Ma,DEM,"18,270",Treasurer,CA
156,Placer,Vivek Viswanathan,DEM,"5,868",Treasurer,CA
157,Placer,Greg Conlon,REP,"15,269",Treasurer,CA
158,Placer,Jack M. Guerrero,REP,"16,763",Treasurer,CA
159,Placer,Kevin Akin,P&F,665,Treasurer,CA
160,Plumas,Fiona Ma,DEM,"1,527",Treasurer,CA
161,Plumas,Vivek Viswanathan,DEM,515,Treasurer,CA
162,Plumas,Greg Conlon,REP,"1,392",Treasurer,CA
163,Plumas,Jack M. Guerrero,REP,"1,544",Treasurer,CA
164,Plumas,Kevin Akin,P&F,90,Treasurer,CA
165,Riverside,Fiona Ma,DEM,"58,006",Treasurer,CA
166,Riverside,Vivek Viswanathan,DEM,"19,838",Treasurer,CA
167,Riverside,Greg Conlon,REP,"52,907",Treasurer,CA
168,Riverside,Jack M. Guerrero,REP,"46,205",Treasurer,CA
169,Riverside,Kevin Akin,P&F,"3,153",Treasurer,CA
170,Sacramento,Fiona Ma,DEM,"55,925",Treasurer,CA
171,Sacramento,Vivek Viswanathan,DEM,"11,265",Treasurer,CA
172,Sacramento,Greg Conlon,REP,"25,373",Treasurer,CA
173,Sacramento,Jack M. Guerrero,REP,"21,818",Treasurer,CA
174,Sacramento,Kevin Akin,P&F,"2,704",Treasurer,CA
175,San Benito,Fiona Ma,DEM,"2,527",Treasurer,CA
176,San Benito,Vivek Viswanathan,DEM,701,Treasurer,CA
177,San Benito,Greg Conlon,REP,"1,354",Treasurer,CA
178,San Benito,Jack M. Guerrero,REP,"1,587",Treasurer,CA
179,San Benito,Kevin Akin,P&F,113,Treasurer,CA
180,San Bernardino,Fiona Ma,DEM,"55,494",Treasurer,CA
181,San Bernardino,Vivek Viswanathan,DEM,"15,904",Treasurer,CA
182,San Bernardino,Greg Conlon,REP,"46,946",Treasurer,CA
183,San Bernardino,Jack M. Guerrero,REP,"42,907",Treasurer,CA
184,San Bernardino,Kevin Akin,P&F,"3,545",Treasurer,CA
185,San Diego,Fiona Ma,DEM,"146,498",Treasurer,CA
186,San Diego,Vivek Viswanathan,DEM,"49,164",Treasurer,CA
187,San Diego,Greg Conlon,REP,"100,434",Treasurer,CA
188,San Diego,Jack M. Guerrero,REP,"80,454",Treasurer,CA
189,San Diego,Kevin Akin,P&F,"4,601",Treasurer,CA
190,San Francisco,Fiona Ma,DEM,"87,591",Treasurer,CA
191,San Francisco,Vivek Viswanathan,DEM,"15,950",Treasurer,CA
192,San Francisco,Greg Conlon,REP,"9,302",Treasurer,CA
193,San Francisco,Jack M. Guerrero,REP,"10,269",Treasurer,CA
194,San Francisco,Kevin Akin,P&F,"12,054",Treasurer,CA
195,San Joaquin,Fiona Ma,DEM,"20,259",Treasurer,CA
196,San Joaquin,Vivek Viswanathan,DEM,"5,520",Treasurer,CA
197,San Joaquin,Greg Conlon,REP,"15,861",Treasurer,CA
198,San Joaquin,Jack M. Guerrero,REP,"11,246",Treasurer,CA
199,San Joaquin,Kevin Akin,P&F,"1,402",Treasurer,CA
200,San Luis Obispo,Fiona Ma,DEM,"21,226",Treasurer,CA
201,San Luis Obispo,Vivek Viswanathan,DEM,"4,787",Treasurer,CA
202,San Luis Obispo,Greg Conlon,REP,"13,796",Treasurer,CA
203,San Luis Obispo,Jack M. Guerrero,REP,"11,900",Treasurer,CA
204,San Luis Obispo,Kevin Akin,P&F,827,Treasurer,CA
205,San Mateo,Fiona Ma,DEM,"40,478",Treasurer,CA
206,San Mateo,Vivek Viswanathan,DEM,"8,128",Treasurer,CA
207,San Mateo,Greg Conlon,REP,"9,792",Treasurer,CA
208,San Mateo,Jack M. Guerrero,REP,"8,580",Treasurer,CA
209,San Mateo,Kevin Akin,P&F,"1,262",Treasurer,CA
210,Santa Barbara,Fiona Ma,DEM,"21,944",Treasurer,CA
211,Santa Barbara,Vivek Viswanathan,DEM,"6,508",Treasurer,CA
212,Santa Barbara,Greg Conlon,REP,"11,785",Treasurer,CA
213,Santa Barbara,Jack M. Guerrero,REP,"11,697",Treasurer,CA
214,Santa Barbara,Kevin Akin,P&F,675,Treasurer,CA
215,Santa Clara,Fiona Ma,DEM,"80,297",Treasurer,CA
216,Santa Clara,Vivek Viswanathan,DEM,"32,670",Treasurer,CA
217,Santa Clara,Greg Conlon,REP,"24,911",Treasurer,CA
218,Santa Clara,Jack M. Guerrero,REP,"24,383",Treasurer,CA
219,Santa Clara,Kevin Akin,P&F,"3,104",Treasurer,CA
220,Santa Cruz,Fiona Ma,DEM,"20,179",Treasurer,CA
221,Santa Cruz,Vivek Viswanathan,DEM,"5,823",Treasurer,CA
222,Santa Cruz,Greg Conlon,REP,"4,493",Treasurer,CA
223,Santa Cruz,Jack M. Guerrero,REP,"3,637",Treasurer,CA
224,Santa Cruz,Kevin Akin,P&F,819,Treasurer,CA
225,Shasta,Fiona Ma,DEM,"4,284",Treasurer,CA
226,Shasta,Vivek Viswanathan,DEM,"1,783",Treasurer,CA
227,Shasta,Greg Conlon,REP,"6,747",Treasurer,CA
228,Shasta,Jack M. Guerrero,REP,"6,983",Treasurer,CA
229,Shasta,Kevin Akin,P&F,418,Treasurer,CA
230,Sierra,Fiona Ma,DEM,370,Treasurer,CA
231,Sierra,Vivek Viswanathan,DEM,103,Treasurer,CA
232,Sierra,Greg Conlon,REP,363,Treasurer,CA
233,Sierra,Jack M. Guerrero,REP,347,Treasurer,CA
234,Sierra,Kevin Akin,P&F,35,Treasurer,CA
235,Siskiyou,Fiona Ma,DEM,"2,016",Treasurer,CA
236,Siskiyou,Vivek Viswanathan,DEM,799,Treasurer,CA
237,Siskiyou,Greg Conlon,REP,"1,994",Treasurer,CA
