"","election_name","election_date","election_type","locality_name","locality_code","office_name","referendum_title","precinct_name","precinct_code","candidate_name","last_name","candidateId","officeId","referendumId","districtId","DESCRIPTION","district_type","party","office_ballot_order","candidate_ballot_order","total_votes","negative_votes","in_precinct","V24"
"27","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"201 - MAURY SCHOOL","0201","Allison Silberberg","SILBERBERG",1062249779,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,1,403,NA,"201 - MAURY SCHOOL",NA
"28","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"201 - MAURY SCHOOL","0201","Justin M. Wilson","WILSON",1787035415,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,2,639,NA,"201 - MAURY SCHOOL",NA
"29","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"202 - GEORGE MASON SCHOOL","0202","Allison Silberberg","SILBERBERG",1062249779,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,1,388,NA,"202 - GEORGE MASON SCHOOL",NA
"30","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"202 - GEORGE MASON SCHOOL","0202","Justin M. Wilson","WILSON",1787035415,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,2,543,NA,"202 - GEORGE MASON SCHOOL",NA
"31","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"203 - AGUDAS ACHIM SYNAGOGUE","0203","Allison Silberberg","SILBERBERG",1062249779,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,1,413,NA,"203 - AGUDAS ACHIM SYNAGOGUE",NA
"32","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"203 - AGUDAS ACHIM SYNAGOGUE","0203","Justin M. Wilson","WILSON",1787035415,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,2,339,NA,"203 - AGUDAS ACHIM SYNAGOGUE",NA
"33","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"204 - BLESSED SACRAMENT CHURCH","0204","Allison Silberberg","SILBERBERG",1062249779,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,1,366,NA,"204 - BLESSED SACRAMENT CHURCH",NA
"34","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"204 - BLESSED SACRAMENT CHURCH","0204","Justin M. Wilson","WILSON",1787035415,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,2,516,NA,"204 - BLESSED SACRAMENT CHURCH",NA
"35","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"205 - DOUGLAS MACARTHUR SCHOOL","0205","Allison Silberberg","SILBERBERG",1062249779,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,1,437,NA,"205 - DOUGLAS MACARTHUR SCHOOL",NA
"36","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"205 - DOUGLAS MACARTHUR SCHOOL","0205","Justin M. Wilson","WILSON",1787035415,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,2,509,NA,"205 - DOUGLAS MACARTHUR SCHOOL",NA
"37","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"206 - CHINQUAPIN PARK RECREATION CTR","0206","Allison Silberberg","SILBERBERG",1062249779,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,1,310,NA,"206 - CHINQUAPIN PARK RECREATION CTR",NA
"38","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"206 - CHINQUAPIN PARK RECREATION CTR","0206","Justin M. Wilson","WILSON",1787035415,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,2,250,NA,"206 - CHINQUAPIN PARK RECREATION CTR",NA
"39","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"207 - TEMPLE BETH EL SYNAGOGUE","0207","Allison Silberberg","SILBERBERG",1062249779,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,1,406,NA,"207 - TEMPLE BETH EL SYNAGOGUE",NA
"40","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"207 - TEMPLE BETH EL SYNAGOGUE","0207","Justin M. Wilson","WILSON",1787035415,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,2,368,NA,"207 - TEMPLE BETH EL SYNAGOGUE",NA
"41","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"208 - NOVA ARTS CENTER","0208","Allison Silberberg","SILBERBERG",1062249779,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,1,147,NA,"208 - NOVA ARTS CENTER",NA
"42","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"208 - NOVA ARTS CENTER","0208","Justin M. Wilson","WILSON",1787035415,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,2,134,NA,"208 - NOVA ARTS CENTER",NA
"43","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"209 - JAMES K POLK SCHOOL","0209","Allison Silberberg","SILBERBERG",1062249779,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,1,321,NA,"209 - JAMES K POLK SCHOOL",NA
"44","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"209 - JAMES K POLK SCHOOL","0209","Justin M. Wilson","WILSON",1787035415,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,2,423,NA,"209 - JAMES K POLK SCHOOL",NA
"45","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"210 - The Hermitage","0210","Allison Silberberg","SILBERBERG",1062249779,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,1,176,NA,"210 - The Hermitage",NA
"46","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"210 - The Hermitage","0210","Justin M. Wilson","WILSON",1787035415,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,2,171,NA,"210 - The Hermitage",NA
"47","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"302 - PATRICK HENRY REC CENTER","0302","Allison Silberberg","SILBERBERG",1062249779,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,1,226,NA,"302 - PATRICK HENRY REC CENTER",NA
"48","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"302 - PATRICK HENRY REC CENTER","0302","Justin M. Wilson","WILSON",1787035415,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,2,177,NA,"302 - PATRICK HENRY REC CENTER",NA
"49","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"303 - CHARLES E BEATLEY LIBRARY","0303","Allison Silberberg","SILBERBERG",1062249779,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,1,259,NA,"303 - CHARLES E BEATLEY LIBRARY",NA
"50","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"303 - CHARLES E BEATLEY LIBRARY","0303","Justin M. Wilson","WILSON",1787035415,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,2,216,NA,"303 - CHARLES E BEATLEY LIBRARY",NA
"51","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"304 - SAMUEL TUCKER SCHOOL","0304","Allison Silberberg","SILBERBERG",1062249779,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,1,294,NA,"304 - SAMUEL TUCKER SCHOOL",NA
"52","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"304 - SAMUEL TUCKER SCHOOL","0304","Justin M. Wilson","WILSON",1787035415,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,2,277,NA,"304 - SAMUEL TUCKER SCHOOL",NA
"53","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"305 - JOHN ADAMS SCHOOL","0305","Allison Silberberg","SILBERBERG",1062249779,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,1,235,NA,"305 - JOHN ADAMS SCHOOL",NA
"54","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"305 - JOHN ADAMS SCHOOL","0305","Justin M. Wilson","WILSON",1787035415,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,2,162,NA,"305 - JOHN ADAMS SCHOOL",NA
"55","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"306 - WILLIAM RAMSAY SCHOOL","0306","Allison Silberberg","SILBERBERG",1062249779,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,1,224,NA,"306 - WILLIAM RAMSAY SCHOOL",NA
"56","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"306 - WILLIAM RAMSAY SCHOOL","0306","Justin M. Wilson","WILSON",1787035415,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,2,160,NA,"306 - WILLIAM RAMSAY SCHOOL",NA
"57","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"307 - SOUTH PORT","0307","Allison Silberberg","SILBERBERG",1062249779,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,1,259,NA,"307 - SOUTH PORT",NA
"58","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"307 - SOUTH PORT","0307","Justin M. Wilson","WILSON",1787035415,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,2,232,NA,"307 - SOUTH PORT",NA
"59","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"308 - CAMERON STATION COMMUNITY CTR","0308","Allison Silberberg","SILBERBERG",1062249779,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,1,304,NA,"308 - CAMERON STATION COMMUNITY CTR",NA
"60","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Mayor",NA,"308 - CAMERON STATION COMMUNITY CTR","0308","Justin M. Wilson","WILSON",1787035415,1703742214,NA,1930800568,"ALEXANDRIA CITY","Locality","",19,2,415,NA,"308 - CAMERON STATION COMMUNITY CTR",NA
"61","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Member City Council",NA,"## Provisional","###PROV","Amy B. Jackson","JACKSON",993446480,617187138,NA,1930800568,"ALEXANDRIA CITY","Locality","",20,1,5,NA,"## Provisional",NA
"62","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Member City Council",NA,"## Provisional","###PROV","Elizabeth B. Bennett-Parker","BENNETT-PARKER",978994130,617187138,NA,1930800568,"ALEXANDRIA CITY","Locality","",20,10,9,NA,"## Provisional",NA
"63","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Member City Council",NA,"## Provisional","###PROV","Robert Ray IV","RAY",1592419901,617187138,NA,1930800568,"ALEXANDRIA CITY","Locality","",20,11,1,NA,"## Provisional",NA
"64","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Member City Council",NA,"## Provisional","###PROV","J. Chris Hubbard","HUBBARD",1646297235,617187138,NA,1930800568,"ALEXANDRIA CITY","Locality","",20,12,7,NA,"## Provisional",NA
"65","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Member City Council",NA,"## Provisional","###PROV","John Taylor Chapman","CHAPMAN",290734805,617187138,NA,1930800568,"ALEXANDRIA CITY","Locality","",20,2,8,NA,"## Provisional",NA
"66","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Member City Council",NA,"## Provisional","###PROV","Willie F. Bailey Sr.","BAILEY",1047540695,617187138,NA,1930800568,"ALEXANDRIA CITY","Locality","",20,3,9,NA,"## Provisional",NA
"67","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Member City Council",NA,"## Provisional","###PROV","Redella S. """"Del"""" Pepper","PEPPER",425570881,617187138,NA,1930800568,"ALEXANDRIA CITY","Locality","",20,4,4,NA,"## Provisional",NA
"68","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Member City Council",NA,"## Provisional","###PROV","Mo Seifeldein","SEIFELDEIN",945502742,617187138,NA,1930800568,"ALEXANDRIA CITY","Locality","",20,5,3,NA,"## Provisional",NA
"69","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Member City Council",NA,"## Provisional","###PROV","Matthew S. """"Matt"""" Feely","FEELY",1624305282,617187138,NA,1930800568,"ALEXANDRIA CITY","Locality","",20,6,3,NA,"## Provisional",NA
"70","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Member City Council",NA,"## Provisional","###PROV","Canek Aguirre","AGUIRRE",33074582,617187138,NA,1930800568,"ALEXANDRIA CITY","Locality","",20,7,7,NA,"## Provisional",NA
"71","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Member City Council",NA,"## Provisional","###PROV","Derek M. """"Dak"""" Hardwick","HARDWICK",573666973,617187138,NA,1930800568,"ALEXANDRIA CITY","Locality","",20,8,5,NA,"## Provisional",NA
"72","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Member City Council",NA,"## Provisional","###PROV","Paul C. Smedberg","SMEDBERG",1399126262,617187138,NA,1930800568,"ALEXANDRIA CITY","Locality","",20,9,3,NA,"## Provisional",NA
"73","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Member City Council",NA,"# AB - Central Absentee Precinct","##CAP","Amy B. Jackson","JACKSON",993446480,617187138,NA,1930800568,"ALEXANDRIA CITY","Locality","",20,1,753,NA,"# AB - Central Absentee Precinct",NA
"74","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Member City Council",NA,"# AB - Central Absentee Precinct","##CAP","Elizabeth B. Bennett-Parker","BENNETT-PARKER",978994130,617187138,NA,1930800568,"ALEXANDRIA CITY","Locality","",20,10,1202,NA,"# AB - Central Absentee Precinct",NA
"75","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Member City Council",NA,"# AB - Central Absentee Precinct","##CAP","Robert Ray IV","RAY",1592419901,617187138,NA,1930800568,"ALEXANDRIA CITY","Locality","",20,11,656,NA,"# AB - Central Absentee Precinct",NA
"76","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Member City Council",NA,"# AB - Central Absentee Precinct","##CAP","J. Chris Hubbard","HUBBARD",1646297235,617187138,NA,1930800568,"ALEXANDRIA CITY","Locality","",20,12,375,NA,"# AB - Central Absentee Precinct",NA
"77","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Member City Council",NA,"# AB - Central Absentee Precinct","##CAP","John Taylor Chapman","CHAPMAN",290734805,617187138,NA,1930800568,"ALEXANDRIA CITY","Locality","",20,2,1014,NA,"# AB - Central Absentee Precinct",NA
"78","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Member City Council",NA,"# AB - Central Absentee Precinct","##CAP","Willie F. Bailey Sr.","BAILEY",1047540695,617187138,NA,1930800568,"ALEXANDRIA CITY","Locality","",20,3,774,NA,"# AB - Central Absentee Precinct",NA
"79","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Member City Council",NA,"# AB - Central Absentee Precinct","##CAP","Redella S. """"Del"""" Pepper","PEPPER",425570881,617187138,NA,1930800568,"ALEXANDRIA CITY","Locality","",20,4,800,NA,"# AB - Central Absentee Precinct",NA
"80","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Member City Council",NA,"# AB - Central Absentee Precinct","##CAP","Mo Seifeldein","SEIFELDEIN",945502742,617187138,NA,1930800568,"ALEXANDRIA CITY","Locality","",20,5,865,NA,"# AB - Central Absentee Precinct",NA
"81","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Member City Council",NA,"# AB - Central Absentee Precinct","##CAP","Matthew S. """"Matt"""" Feely","FEELY",1624305282,617187138,NA,1930800568,"ALEXANDRIA CITY","Locality","",20,6,711,NA,"# AB - Central Absentee Precinct",NA
"82","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Member City Council",NA,"# AB - Central Absentee Precinct","##CAP","Canek Aguirre","AGUIRRE",33074582,617187138,NA,1930800568,"ALEXANDRIA CITY","Locality","",20,7,724,NA,"# AB - Central Absentee Precinct",NA
"83","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Member City Council",NA,"# AB - Central Absentee Precinct","##CAP","Derek M. """"Dak"""" Hardwick","HARDWICK",573666973,617187138,NA,1930800568,"ALEXANDRIA CITY","Locality","",20,8,680,NA,"# AB - Central Absentee Precinct",NA
"84","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Member City Council",NA,"# AB - Central Absentee Precinct","##CAP","Paul C. Smedberg","SMEDBERG",1399126262,617187138,NA,1930800568,"ALEXANDRIA CITY","Locality","",20,9,774,NA,"# AB - Central Absentee Precinct",NA
"85","2018 June Democratic Primary","2018-06-12 00:00:00.000","Primary","ALEXANDRIA CITY",510,"Member City Council",NA,"101 - LADREY SENIOR BUILDING","0101","Amy B. Jackson","JACKSON",993446480,617187138,NA,1930800568,"ALEXANDRIA CITY","Locality","",20,1,251,NA,"101 - LADREY SENIOR BUILDING",NA
