counties,race name,candidate,party,votes
Beaver,Republican for Beaver County Commissioner (B),MARK S. WHITNEY,REPUBLICAN,820
Beaver,Republican for Beaver County Commissioner (B),BOB DAVIDSON,REPUBLICAN,517
Box Elder,Republican for Box Elder County Commissioner Seat A,JEFF HADFIELD,REPUBLICAN,4986
Box Elder,Republican for Box Elder County Commissioner Seat A,CHARLES M. YOUNG,REPUBLICAN,2467
Box Elder,Republican for Box Elder County Commissioner Seat B,JEFFREY D. SCOTT,REPUBLICAN,4440
Box Elder,Republican for Box Elder County Commissioner Seat B,JON E. ADAMS,REPUBLICAN,2909
Cache,Logan City School Board #5,LARRY J. WILLIAMS,,464
Cache,Logan City School Board #5,SARA MENLOVE DOUTRE,,387
Cache,Logan City School Board #5,DANIEL C. KENT,,167
Carbon,Democratic for Commission/Surveyor,JOHN JONES,DEMOCRATIC,365
Carbon,Democratic for Commission/Surveyor,JOE CHRISTMAN,DEMOCRATIC,292
Carbon,Republican for Clerk/Auditor,SETH MARSING,REPUBLICAN,795
Carbon,Republican for Clerk/Auditor,GLENNA ETZEL,REPUBLICAN,625
Carbon,Republican for Clerk/Auditor,DAVID B. PETTY,REPUBLICAN,451
Carbon,Republican for Commission,LARRY G JENSEN,REPUBLICAN,891
Carbon,Republican for Commission,KENDRA SEELEY,REPUBLICAN,510
Carbon,Republican for Commission,RYAN MURRAY,REPUBLICAN,415
Carbon,Republican for Commission,JAY DARTON DAUGHERTY,REPUBLICAN,83
Carbon,Republican for Commission/Surveyor,TONY MARTINES,REPUBLICAN,1415
Carbon,Republican for Commission/Surveyor,JAKE MELLOR,REPUBLICAN,489
Daggett,"Republican for County Commissioner ""B""",JACK JOHN A. LYTLE,REPUBLICAN,133
Daggett,"Republican for County Commissioner ""B""",MATTHEW TIPPETS,REPUBLICAN,123
Davis,Republican for Commissioner Seat A,BOB J. STEVENSON,REPUBLICAN,21831
Davis,Republican for Commissioner Seat A,BRIAN MUIR,REPUBLICAN,18221
Davis,Republican for Commissioner Seat B,LORENE MINER KAMALU,REPUBLICAN,16598
Davis,Republican for Commissioner Seat B,BRUCE YOUNG,REPUBLICAN,15507
Davis,Republican for Commissioner Seat B,THOMAS TONY CHRISTOPULOS,REPUBLICAN,7928
Davis,Davis School Board 3,JULIE TANNER,,4039
Davis,Davis School Board 3,SUSAN FIRMAGE,,3077
Davis,Davis School Board 3,BETH MCCONKIE BARBER,,2709
Davis,Davis School Board 6,MARIE STEVENSON,,3675
Davis,Davis School Board 6,BONNIE KAYE BOURGEOUS,,1795
Davis,Davis School Board 6,ERIN MARIE BLANKENSHIP,,971
Duchesne,Republican for CLERK-AUDITOR,JOANN EVANS,REPUBLICAN,1971
Duchesne,Republican for CLERK-AUDITOR,MINDI CROWLEY,REPUBLICAN,1535
Duchesne,Republican for SHERIFF,TRAVIS LANE TUCKER,REPUBLICAN,1132
Duchesne,Republican for SHERIFF,RICK HARRISON,REPUBLICAN,819
Duchesne,Republican for SHERIFF,LUKE STRADINGER,REPUBLICAN,789
Duchesne,Republican for SHERIFF,BRANDON ADAMS,REPUBLICAN,774
Emery,Republican for County Clerk/Auditor,BRENDA TUTTLE,REPUBLICAN,1095
Emery,Republican for County Clerk/Auditor,RUSSELL LARSEN,REPUBLICAN,677
Emery,Republican for County Sheriff,GREG FUNK,REPUBLICAN,1145
Emery,Republican for County Sheriff,KEATON COWLEY,REPUBLICAN,648
Emery,Local School Board 4,MARIE GUYMON JOHNSON,,179
Emery,Local School Board 4,NICKY NIELSON,,165
Emery,Local School Board 4,MIKE JUSTICE,,126
Garfield,GARFIELD COUNTY SCHOOL BOARD #4,CATHERINE J. ANDERSON,,135
Garfield,GARFIELD COUNTY SCHOOL BOARD #4,APRIL LEFEVRE,,121
Garfield,GARFIELD COUNTY SCHOOL BOARD #4,KEN PLATT,,81
Grand,County Attorney,CHRISTINA SLOAN,,1076
Grand,County Attorney,STEPHEN J STOCKS,,662
Grand,County Attorney,STEVEN G BYERS,,589
Iron,Republican for County Attorney,CHAD DOTSON,REPUBLICAN,3992
Iron,Republican for County Attorney,SCOTT BURNS,REPUBLICAN,3270
Iron,Republican for County Commissioner A,MICHAEL P BLEAK,REPUBLICAN,3841
Iron,Republican for County Commissioner A,FRED C ROWLEY,REPUBLICAN,3334
Iron,Republican for County Commissioner B,PAUL COZZENS,REPUBLICAN,2766
Iron,Republican for County Commissioner B,JENNIE HENDRICKS,REPUBLICAN,2351
Iron,Republican for County Commissioner B,MICHELLE JORGENSON,REPUBLICAN,1160
Iron,Republican for County Commissioner B,SAM BROWER,REPUBLICAN,1041
Iron,Republican for County Sheriff,KENNETH K. CARPENTER,REPUBLICAN,3136
Iron,Republican for County Sheriff,DEL SCHLOSSER,REPUBLICAN,2074
Iron,Republican for County Sheriff,DAVID EVANS,REPUBLICAN,1436
Iron,Republican for County Sheriff,CALEB ANDERSON,REPUBLICAN,666
Juab,Republican for Commissioner Seat B,RICHARD K. HANSEN,REPUBLICAN,851
Juab,Republican for Commissioner Seat B,JOLENE JACKSON,REPUBLICAN,798
Juab,Republican for Commissioner Seat B,MICHAEL JAMES KRAMER,REPUBLICAN,350
Juab,Republican for County Clerk/Auditor,ALAINA E. LOFGRAN,REPUBLICAN,1335
Juab,Republican for County Clerk/Auditor,GAYLE LESLIE PAINTER,REPUBLICAN,725
Juab,Republican for County Sheriff,DOUGLAS SCOTT ANDERSON,REPUBLICAN,1200
Juab,Republican for County Sheriff,CRAIG BARTON RYAN,REPUBLICAN,864
Kane,Republican for Kane County Commission Seat A,ANDY GANT,REPUBLICAN,1308
Kane,Republican for Kane County Commission Seat A,SHAWNA COX,REPUBLICAN,424
Kane,Republican for Kane County Commission Seat B,BRENT CHAMBERLAIN,REPUBLICAN,882
Kane,Republican for Kane County Commission Seat B,JIM MATSON,REPUBLICAN,433
Kane,Republican for Kane County Commission Seat B,TYLER CORNELL,REPUBLICAN,412
Kane,Republican for Kane County Clerk/Auditor,KARLA JOHNSON,REPUBLICAN,1002
Kane,Republican for Kane County Clerk/Auditor,KEIREN CHATTERLEY,REPUBLICAN,726
Kane,Republican for Kane County Attorney,ROBERT VAN DYKE,REPUBLICAN,1178
Kane,Republican for Kane County Attorney,VAN MACKELPRANG,REPUBLICAN,538
Kane,Local School Board 5,BRIAN C. GOULDING,,168
Kane,Local School Board 5,BETTY CHAMBERLAIN,,138
Kane,Local School Board 5,JOEIE L. HARRIS,,111
Kane,Local School Board 5,JOHN ROY TISDALE,,28
Millard,Republican for County Auditor,BONNIE L. GEHRE,REPUBLICAN,2001
Millard,Republican for County Auditor,KYLER C HUGHES,REPUBLICAN,861
Millard,Republican for County Commission Seat A,EVELYN M. WARNICK,REPUBLICAN,1684
Millard,Republican for County Commission Seat A,JEFFERY W. GEORGE,REPUBLICAN,808
Millard,Republican for County Commission Seat A,TODD MACFARLANE,REPUBLICAN,384
Millard,Republican for County Commissioner Seat B,DEAN WILLIAM DRAPER,REPUBLICAN,1578
Millard,Republican for County Commissioner Seat B,BRYCE TOLBERT,REPUBLICAN,1267
Millard,Republican for County Sheriff,RICHARD D. JACOBSON,REPUBLICAN,2187
Millard,Republican for County Sheriff,RICHARD J. CARTER,REPUBLICAN,699
Morgan,County Council District 1,TINA D. KELLEY,,296
Morgan,County Council District 1,TINA CANNON,,231
Morgan,County Council District 1,LARRY NANCE,,184
Morgan,County Council at Large,SARAH SWAN,,1022
Morgan,County Council at Large,AUSTIN F TURNER,,946
Morgan,County Council at Large,JOHN BARBER,,860
Morgan,County Council at Large,JAMIE E. GRANDPRE,,159
Morgan,County Clerk/Auditor,STACY NETZ CLARK,,2028
Morgan,County Clerk/Auditor,STEFANI JENSEN,,618
Morgan,County Clerk/Auditor,JONATHAN RINCON,,348
Piute,Republican for County Commissioner,SCOTT GARY DALTON,REPUBLICAN,229
Piute,Republican for County Commissioner,MARK B CANNON,REPUBLICAN,205
Rich,Republican for County Commissioner A,WILLIAM COX,REPUBLICAN,460
Rich,Republican for County Commissioner A,JONATHAN LEE,REPUBLICAN,427
Rich,Republican for County Commissioner B,SIMEON B. WESTON,REPUBLICAN,599
Rich,Republican for County Commissioner B,PAT ARGYLE,REPUBLICAN,281
Rich,Local School Board 3,ERIC DELMAS WAMSLEY,,111
Rich,Local School Board 3,MONTY G. WESTON,,75
Rich,Local School Board 3,DALLAS L. CLARK,,66
Rich,Local School Board 3,PATRICK FLOYD,,25
Salt Lake,Jordan School Board 3,TRACY MILLER,,3523
Salt Lake,Jordan School Board 3,ROY HARWARD,,1289
Salt Lake,Jordan School Board 3,CHRISTIAN COWART,,782
San Juan,Democratic for Commission District 3,KENNETH MARYBOY,DEMOCRATIC,626
San Juan,Democratic for Commission District 3,REBECCA M BENALLY,DEMOCRATIC,574
San Juan,Republican for Commission District 1,BRUCE BAILEY ADAMS,REPUBLICAN,559
San Juan,Republican for Commission District 1,LOGAN MONSON,REPUBLICAN,389
San Juan,Republican for County Sheriff,JASON F TORGERSON,REPUBLICAN,1045
San Juan,Republican for County Sheriff,CAL DEAN BLACK,REPUBLICAN,487
San Juan,School Board District #3,STEVEN C BLACK,,431
San Juan,School Board District #3,SUZETTE R MORRIS,,269
San Juan,School Board District #3,CURTIS YANITO,,256
San Juan,School Board District #4,MELVIN CAPITAN,,298
